recipe_id,title_fa,title_en,category,region,main_protein,base,prep_min,cook_min,cost_tier,health_tags,allergens_or_notes,medical_caution,occasion,ingredient_keywords,quick_variation
IR011,ترش‌تره,Torshi Tareh,خورش,گیلان,تخم‌مرغ اختیاری,برنج,25,60,اقتصادی,سبزیجات فیبر,تخم‌مرغ,نمک و روغن قابل کنترل,بهار,سبزی محلی سیر برنج تخم‌مرغ آبغوره,بدون تخم‌مرغ یا با لوبیا
IR012,اناربیج,Anarbij,خورش,گیلان,گوشت قلقلی,برنج,25,100,لوکس,سبزیجات پروتئین,گردو,پرکالری به علت گردو,مهمانی,گردو رب انار سبزی معطر گوشت برنج,قلقلی مرغ و گردوی کمتر
IR013,قلیه ماهی,Ghalyeh Mahi,خورش,جنوب,ماهی,برنج,25,60,متوسط,پروتئین دریایی,ماهی,تندی و نمک قابل تنظیم,ناهار خانوادگی,ماهی گشنیز شنبلیله تمرهندی برنج,ماهی گریل و روغن کمتر
IR014,قلیه میگو,Ghalyeh Meygoo,خورش,جنوب,میگو,برنج,25,50,لوکس,پروتئین دریایی,میگو,حساسیت به سخت‌پوستان,مهمانی,میگو گشنیز شنبلیله تمرهندی برنج,میگوی کمتر با سبزی بیشتر
IR015,مسما بادمجان,Mosamma Bademjan,خورش,شمال ایران,مرغ,برنج,25,90,متوسط,پروتئین سبزیجات,ندارد,روغن قابل کنترل,ناهار خانوادگی,مرغ بادمجان گوجه پیاز رب برنج,فرپز
IR016,سبزی‌پلو با ماهی,Sabzi Polo Mahi,پلو,سراسری,ماهی,برنج,20,45,متوسط,پروتئین دریایی سبزیجات,ماهی,روش پخت ماهی و نمک مهم است,مهمانی,برنج سبزی‌پلو ماهی سیر لیمو,ماهی فرپز
IR017,باقالی‌پلو با مرغ,Baghali Polo Morgh,پلو,سراسری,مرغ,برنج,20,75,متوسط,پروتئین,باقالی,پورین برای برخی افراد حساس قابل بررسی,مهمانی,برنج باقالی شوید مرغ زعفران,برنج کمتر و مرغ گریل
IR018,باقالی‌پلو با گوشت,Baghali Polo Goosht,پلو,سراسری,گوشت قرمز,برنج,25,150,لوکس,پروتئین,باقالی,چربی اشباع قابل کنترل,مهمانی,برنج باقالی شوید گوشت زعفران,گوشت کم‌چرب و سهم کوچک
IR019,عدس‌پلو,Adas Polo,پلو,سراسری,گوشت چرخ‌کرده اختیاری,برنج و عدس,20,50,اقتصادی,فیبر پروتئین گیاهی,ندارد,کشمش و خرما برای دیابت سهم‌بندی شود,ناهار خانوادگی,برنج عدس کشمش خرما پیاز گوشت چرخ‌کرده,نسخه گیاهی با قارچ
IR020,لوبیاپلو,Lubia Polo,پلو,سراسری,گوشت چرخ‌کرده,برنج و لوبیا سبز,20,60,متوسط,سبزیجات پروتئین,ندارد,برنج را سهم‌بندی کنید,ناهار خانوادگی,برنج لوبیا سبز گوشت رب گوجه,برنج قهوه‌ای ترکیبی
IR021,کلم‌پلو شیرازی,Kalam Polo Shirazi,پلو,فارس,گوشت قلقلی,برنج,30,60,متوسط,سبزیجات,ندارد,نمک و روغن قابل کنترل,ناهار خانوادگی,کلم سبزی کلم‌پلو گوشت برنج,قلقلی مرغ یا سویا
IR022,هویج‌پلو,Havij Polo,پلو,سراسری,مرغ یا گوشت,برنج,25,60,متوسط,سبزیجات,ندارد,قند افزوده را حذف کنید,مهمانی,برنج هویج مرغ کشمش زعفران,بدون شکر افزوده
IR023,آلبالوپلو,Albaloo Polo,پلو,سراسری,مرغ یا گوشت,برنج,30,60,لوکس,میوه پروتئین,ندارد,شکر افزوده قابل کنترل,مهمانی,برنج آلبالو مرغ شکر زعفران,آلبالوی تازه و شکر کمتر
IR024,شیرین‌پلو,Shirin Polo,پلو,سراسری,مرغ,برنج,30,70,لوکس,مغزها,بادام پسته,قند و کالری بالا,مهمانی,برنج خلال پرتقال هویج کشمش مرغ,خشکبار و شیرین‌کننده کمتر
IR025,مرصع‌پلو,Morassa Polo,پلو,سراسری,مرغ,برنج,35,75,لوکس,مغزها میوه خشک,بادام پسته,قند و کالری بالا,مهمانی,برنج زرشک کشمش خلال بادام پسته مرغ,مغزها و میوه خشک سهم‌بندی‌شده
IR026,زرشک‌پلو با مرغ,Zereshk Polo Morgh,پلو,سراسری,مرغ,برنج,20,75,متوسط,پروتئین,ندارد,شکر زرشک و برنج قابل کنترل,مهمانی,برنج زرشک مرغ زعفران پیاز,زرشک بدون شکر و مرغ گریل
IR027,ته‌چین مرغ,Tahchin Morgh,پلو,سراسری,مرغ,برنج,25,75,متوسط,پروتئین,تخم‌مرغ لبنیات,چربی و برنج قابل کنترل,مهمانی,برنج ماست تخم‌مرغ مرغ زعفران,فرپز با ماست کم‌چرب
IR028,استانبولی پلو,Estanbuly Polo,پلو,سراسری,گوشت اختیاری,برنج و گوجه,15,50,اقتصادی,سبزیجات,ندارد,برنج سهم‌بندی شود,روزمره,برنج گوجه سیب‌زمینی لوبیا سبز گوشت,نسخه گیاهی
IR029,دمی گوجه,Domy Gojeh,پلو,سراسری,بدون گوشت,برنج و گوجه,10,45,اقتصادی,گیاهی,ندارد,برنج سهم‌بندی شود,روزمره,برنج گوجه سیب‌زمینی پیاز,با تخم‌مرغ یا ماست
IR030,ماش‌پلو,Mash Polo,پلو,سراسری,گوشت اختیاری,برنج و ماش,20,55,اقتصادی,فیبر پروتئین گیاهی,ندارد,برنج سهم‌بندی شود,روزمره,برنج ماش شوید گوشت پیاز,نسخه کاملاً گیاهی
IR031,میگوپلو,Meygoo Polo,پلو,جنوب,میگو,برنج,25,55,لوکس,پروتئین دریایی,میگو,حساسیت به سخت‌پوستان,مهمانی,برنج میگو پیاز ادویه جنوبی کشمش,میگو کمتر و سبزی بیشتر
IR032,کباب کوبیده,Kabab Koobideh,کباب,سراسری,گوشت چرخ‌کرده,نان یا برنج,25,20,متوسط,پروتئین,ندارد,چربی اشباع و نمک قابل کنترل,مهمانی,گوشت چرخ‌کرده پیاز گوجه نان برنج,گوشت کم‌چرب یا مرغ
IR033,جوجه‌کباب,Joojeh Kabab,کباب,سراسری,مرغ,نان یا برنج,30,20,متوسط,پروتئین,ندارد,سس و برنج قابل کنترل,پیک‌نیک,مرغ پیاز زعفران لیمو گوجه نان,گریل با سالاد
IR034,کباب برگ,Kabab Barg,کباب,سراسری,گوشت قرمز,نان یا برنج,35,15,لوکس,پروتئین,ندارد,چربی اشباع قابل کنترل,مهمانی,فیله گوشت پیاز زعفران کره برنج,سهم کوچک و سالاد بیشتر
IR035,کباب تابه‌ای,Kabab Tabei,کباب,سراسری,گوشت چرخ‌کرده,نان یا برنج,15,25,اقتصادی,پروتئین,ندارد,روغن و چربی قابل کنترل,روزمره,گوشت چرخ‌کرده پیاز گوجه سیب‌زمینی نان,فرپز یا مرغ چرخ‌کرده
IR036,شامی کباب,Shami Kabab,کتلت و شامی,سراسری,گوشت و لپه,نان,25,30,اقتصادی,پروتئین فیبر,تخم‌مرغ,روغن سرخ‌کردن قابل کنترل,روزمره,گوشت لپه سیب‌زمینی تخم‌مرغ پیاز,سرخ‌کن بدون روغن
IR037,کتلت,Kotlet,کتلت و شامی,سراسری,گوشت چرخ‌کرده,نان,20,25,اقتصادی,پروتئین,تخم‌مرغ,روغن سرخ‌کردن قابل کنترل,روزمره,گوشت سیب‌زمینی تخم‌مرغ پیاز نان,فرپز
IR038,کوکو سبزی,Kuku Sabzi,کوکو,سراسری,تخم‌مرغ,نان,20,25,اقتصادی,سبزیجات پروتئین,تخم‌مرغ گردو اختیاری,روغن قابل کنترل,سبک و سریع,سبزی کوکو تخم‌مرغ گردو زرشک نان,فرپز و تخم‌مرغ کمتر
IR039,کوکو سیب‌زمینی,Kuku Sibzamini,کوکو,سراسری,تخم‌مرغ,نان,15,20,اقتصادی,سریع,تخم‌مرغ,کربوهیدرات و روغن قابل کنترل,سریع,سیب‌زمینی تخم‌مرغ پیاز نان,فرپز با سبزیجات کنار غذا
IR040,کوکو لوبیا سبز,Kuku Loobia Sabz,کوکو,سراسری,تخم‌مرغ و گوشت اختیاری,نان,25,35,اقتصادی,سبزیجات,تخم‌مرغ,روغن قابل کنترل,روزمره,لوبیا سبز هویج گوشت تخم‌مرغ,نسخه گیاهی فرپز
IR041,میرزا قاسمی,Mirza Ghasemi,پیش‌غذا یا شام سبک,گیلان,تخم‌مرغ,نان,20,30,اقتصادی,سبزیجات,تخم‌مرغ,روغن و نمک قابل کنترل,شام سبک,بادمجان گوجه سیر تخم‌مرغ نان,بادمجان گریل و روغن کمتر
IR042,کشک بادمجان,Kashk Bademjan,پیش‌غذا یا شام سبک,سراسری,کشک,نان,25,35,اقتصادی,سبزیجات,لبنیات گردو,نمک کشک و روغن قابل کنترل,دورهمی,بادمجان کشک پیاز نعنا گردو نان,بادمجان گریل و کشک کم‌نمک
IR043,باقالی قاتق,Baghali Ghatogh,خوراک,گیلان,تخم‌مرغ و باقالی,نان یا برنج,15,35,اقتصادی,پروتئین گیاهی,تخم‌مرغ باقالی,برای حساسیت یا محدودیت باقالی بررسی شود,روزمره,باقالی شوید سیر تخم‌مرغ برنج,بدون تخم‌مرغ با قارچ
IR044,عدسی,Adasi,صبحانه یا شام سبک,سراسری,عدس,نان,10,50,اقتصادی,فیبر پروتئین گیاهی,ندارد,نمک قابل کنترل,صبحانه,عدس پیاز سیب‌زمینی نان,بدون سیب‌زمینی با سبزیجات
IR045,آش رشته,Ash Reshteh,آش و سوپ,سراسری,حبوبات,نان,25,120,اقتصادی,فیبر پروتئین گیاهی,کشک گلوتن,نمک کشک و کربوهیدرات قابل کنترل,مهمانی,حبوبات سبزی آش رشته کشک پیاز داغ,کشک کم‌نمک و پیازداغ کمتر
IR046,آش جو,Ash Jo,آش و سوپ,سراسری,جو و حبوبات,نان,20,90,اقتصادی,فیبر,گلوتن لبنیات اختیاری,نمک قابل کنترل,سبک و زمستانی,جو سبزی حبوبات هویج کشک,بدون کشک و روغن کمتر
IR047,سوپ جو,Soup Jo,آش و سوپ,سراسری,مرغ اختیاری,نان,15,50,اقتصادی,سبزیجات,گلوتن لبنیات اختیاری,نمک قابل کنترل,بیماری یا شام سبک,جو مرغ هویج قارچ شیر,نسخه بدون لبنیات
IR048,حلیم,Halim,صبحانه,سراسری,گوشت و گندم,نان,20,240,متوسط,پروتئین,گلوتن,شکر و کره افزوده قابل کنترل,صبحانه آخرهفته,گندم گوشت دارچین کره نان,بدون شکر و کره کمتر
IR049,آبگوشت,Abgoosht,خوراک,سراسری,گوشت و حبوبات,نان,20,180,متوسط,پروتئین فیبر,نخود لوبیا,چربی گوشت و نمک قابل کنترل,ناهار خانوادگی,گوشت نخود لوبیا سیب‌زمینی گوجه نان,گوشت کم‌چرب و آبگیری چربی
IR050,دال عدس,Dal Adas,خوراک,جنوب,عدس قرمز,نان یا برنج,15,45,اقتصادی,فیبر پروتئین گیاهی,ندارد,تندی قابل تنظیم,روزمره,دال عدس پیاز سیر تمرهندی ادویه,با برنج کمتر یا نان سبوس‌دار
IR051,فلافل,Falafel,ساندویچ,جنوب,نخود,نان,20,25,اقتصادی,پروتئین گیاهی فیبر,گلوتن کنجد اختیاری,روش سرخ‌کردن قابل کنترل,سریع,نخود پیاز سیر ادویه نان سبزیجات,فرپز یا ایرفرایر
IR052,املت گوجه,Omlet Gojeh,صبحانه یا شام سبک,سراسری,تخم‌مرغ,نان,5,15,اقتصادی,سریع,تخم‌مرغ,نمک و روغن قابل کنترل,سریع,تخم‌مرغ گوجه پیاز نان,با قارچ و سبزیجات بیشتر
IR053,نرگسی اسفناج,Nargesi Esfenaj,صبحانه یا شام سبک,سراسری,تخم‌مرغ,نان,10,20,اقتصادی,سبزیجات,تخم‌مرغ,روغن قابل کنترل,سریع,اسفناج تخم‌مرغ پیاز سیر نان,فرپز یا تخم‌مرغ کمتر
IR054,دلمه برگ مو,Dolmeh Barg Mo,خوراک,آذربایجان,گوشت اختیاری و حبوبات,نان یا برنج,45,75,متوسط,سبزیجات فیبر,ندارد,برنج و نمک قابل کنترل,مهمانی,برگ مو برنج لپه سبزی گوشت,نسخه گیاهی
IR055,کوفته تبریزی,Kufteh Tabrizi,خوراک,آذربایجان,گوشت و لپه,نان,45,100,متوسط,پروتئین,تخم‌مرغ گردو اختیاری,چربی و اندازه سهم قابل کنترل,مهمانی,گوشت لپه سبزی برنج تخم‌مرغ آلو,کوفته کوچک‌تر و گوشت کم‌چرب
IR056,یتیمچه,Yatimcheh,خوراک,سراسری,بدون گوشت,نان,15,35,اقتصادی,سبزیجات گیاهی,ندارد,روغن قابل کنترل,اقتصادی,بادمجان گوجه سیب‌زمینی پیاز نان,بادمجان گریل
IR057,خوراک لوبیا چیتی,Khoreak Loobia Chiti,خوراک,سراسری,لوبیا چیتی,نان,15,75,اقتصادی,فیبر پروتئین گیاهی,ندارد,نمک قابل کنترل,اقتصادی,لوبیا چیتی قارچ گوجه پیاز نان,بدون سوسیس و با سبزیجات
IR058,ماکارونی ایرانی,Makaroni Irani,پاستا,سراسری,گوشت چرخ‌کرده یا سویا,پاستا,20,45,اقتصادی,سریع,گلوتن,کربوهیدرات و روغن قابل کنترل,روزمره,ماکارونی گوشت سویا پیاز فلفل دلمه رب,پاستای سبوس‌دار و سبزی بیشتر
IR059,لازانیا سبزیجات,Lazania Sabzijat,پاستا,مدرن,گوشت اختیاری,پاستا,30,50,متوسط,سبزیجات,گلوتن لبنیات,کالری پنیر قابل کنترل,مهمانی,لازانیا قارچ فلفل دلمه پنیر سس گوجه,پنیر کمتر و سبزی بیشتر
IR060,سالاد الویه,Salad Olivieh,سالاد وعده‌ای,سراسری,مرغ و تخم‌مرغ,نان,25,30,متوسط,پروتئین,تخم‌مرغ,سس پرچرب قابل کنترل,پیک‌نیک,مرغ سیب‌زمینی تخم‌مرغ خیارشور نخودفرنگی نان,ماست چکیده به‌جای بخشی از سس
IR061,سالاد شیرازی,Salad Shirazi,کنار غذا,فارس,بدون گوشت,سبزیجات,10,0,اقتصادی,سبزیجات,ندارد,نمک قابل کنترل,همراه غذا,خیار گوجه پیاز آبلیمو نعنا,بدون تغییر
IR062,ماست و خیار,Mast-o-Khiar,کنار غذا,سراسری,ماست,لبنیات,10,0,اقتصادی,پروتئین لبنی,لبنیات گردو اختیاری,نمک قابل کنترل,همراه غذا,ماست خیار نعنا کشمش گردو,ماست کم‌چرب و بدون نمک افزوده
IR063,نان پنیر سبزی,Nan Panir Sabzi,صبحانه یا شام سبک,سراسری,پنیر,نان,10,0,اقتصادی,سریع,گلوتن لبنیات گردو,نمک پنیر قابل کنترل,صبحانه,نان پنیر سبزی گردو,پنیر کم‌نمک و نان سبوس‌دار
IR064,اوتمیل زعفرانی,Oatmeal Zafarani,صبحانه مدرن,مدرن,لبنیات یا گیاهی,جو دوسر,5,10,اقتصادی,فیبر,گلوتن لبنیات,شیرین‌کننده قابل کنترل,صبحانه,جو دوسر شیر زعفران دارچین میوه,بدون شکر افزوده
IR065,ساندویچ مرغ و سبزیجات,Sandwich Morgh Sabzijat,ساندویچ,مدرن,مرغ,نان,15,15,متوسط,پروتئین سبزیجات,گلوتن,سس و نمک قابل کنترل,سریع,مرغ نان کاهو گوجه خیارشور ماست,نان سبوس‌دار و سس ماستی
